Y(fast speed),Hour,"Day of the week (1 = Monday, 7 = Sunday)",Temperature (Fahrenheit),Entering Point (8 Direction),Leaving Point(8 Direction),Whether alone,Age (Child/Young/Middle/Old),Is Female,Hair color(Black/Blonde/Hat),Have backpack,Have handbag,Is Formal,Level of Crowded (3 Levels),Level of standing (1-3),With pet or not,With phone or not
1,17,6,64,2,1,1,Young,0,Black,1,1,0,2,1,0,0
0,17,6,64,6,2,0,Young,0,Blonde,0,0,0,2,1,0,0
0,17,6,64,6,2,0,Young,1,Blonde,0,0,0,2,1,0,0
0,17,6,64,6,2,1,Young,0,Hat,1,0,0,2,1,0,0
1,17,6,64,4,1,1,Young,0,Black,1,0,0,2,1,0,0
0,17,6,64,3,4,1,Young,0,Blonde,0,1,0,2,1,0,0
0,17,6,64,6,3,0,Young,1,Blonde,0,0,0,2,1,0,0
0,17,6,64,6,3,0,Young,0,Blonde,0,1,0,2,1,0,0
0,17,6,64,7,1,1,Young,1,Black,1,0,0,2,1,0,0
1,17,6,64,4,1,1,Young,0,Blonde,1,0,0,2,1,0,0
0,17,6,64,4,6,0,Young,1,Black,1,0,0,2,1,0,0
0,17,6,64,4,6,0,Young,0,Black,1,0,0,2,1,0,0
0,17,6,64,7,1,0,Young,1,Blonde,0,0,0,2,1,0,0
0,17,6,64,7,1,0,Young,0,Blonde,0,0,0,2,1,0,0
0,18,6,64,6,1,0,Child,0,Blonde,0,0,0,2,1,0,0
0,18,6,64,6,1,0,Middle,0,Blonde,0,0,0,2,1,0,0
0,18,6,64,6,1,0,Middle,1,Blonde,0,0,0,2,1,0,0
0,18,6,64,3,1,0,Young,0,Blonde,0,0,0,2,1,0,0
0,18,6,64,3,1,0,Young,1,Blonde,0,0,0,2,1,0,0
1,18,6,64,7,2,0,Young,1,Blonde,0,1,0,2,1,0,0
1,18,6,64,7,2,0,Young,1,Blonde,0,0,0,2,1,0,0
0,18,6,64,1,3,1,Old,1,Blonde,0,1,0,2,1,0,0
1,18,6,64,2,7,1,Young,1,Blonde,0,1,0,2,1,0,0
0,18,6,64,1,3,1,Middle,0,Black,0,0,0,2,1,0,0
0,19,6,63,6,1,1,Middle,1,Black,1,0,0,2,1,0,0
1,19,6,63,4,1,1,Young,1,Black,0,0,0,2,1,0,0
0,19,6,63,4,8,0,Young,1,Blonde,1,0,0,2,1,0,0
0,19,6,63,4,8,0,Young,0,Blonde,1,0,0,2,1,0,0
1,19,6,63,5,7,1,Young,1,Blonde,1,0,0,2,1,0,0
0,19,6,63,3,4,1,Young,1,Blonde,0,0,0,2,1,0,0
0,19,6,63,4,2,1,Young,0,Blonde,0,0,0,2,1,1,0
1,20,6,62,4,7,0,Young,0,Black,1,0,0,1,1,0,0
1,20,6,62,4,7,0,Young,0,Black,0,0,0,1,1,0,0
1,20,6,62,5,2,1,Young,0,Black,1,0,0,1,1,0,0
0,20,6,62,3,4,0,Young,0,Blonde,0,0,0,1,1,0,0
0,20,6,62,3,4,0,Young,0,Blonde,0,0,0,1,1,0,0
0,20,6,62,3,4,0,Young,1,Blonde,0,1,0,1,1,0,0
1,20,6,62,2,3,1,Young,0,Black,0,0,0,1,1,0,0
0,21,6,62,3,1,0,Young,1,Black,0,0,0,1,1,0,0
0,21,6,62,3,1,0,Young,0,Black,0,1,0,1,1,0,0
0,21,6,62,1,7,1,Young,1,Black,0,0,0,1,1,0,0
0,21,6,62,6,4,1,Young,0,Blonde,0,0,0,1,1,0,0
0,21,6,62,1,5,0,Young,1,Blonde,0,0,0,1,1,0,0
0,21,6,62,1,5,0,Young,1,Blonde,0,0,0,1,1,0,0
0,21,6,62,1,5,0,Young,1,Blonde,0,0,0,1,1,0,0
1,22,6,61,1,7,1,Young,0,Black,0,0,0,1,1,0,0
0,22,6,61,5,2,0,Young,1,Blonde,0,0,0,1,1,0,0
0,22,6,61,5,2,0,Young,1,Blonde,0,0,0,1,1,0,0
0,22,6,61,4,8,1,Young,0,Blonde,0,1,1,1,1,0,0
0,22,6,61,8,6,1,Young,1,Blonde,0,0,0,1,1,0,0
0,23,6,61,8,4,0,Young,1,Blonde,0,0,0,1,1,0,0
0,23,6,61,8,4,0,Young,1,Blonde,0,0,0,1,1,0,0
0,23,6,61,4,8,1,Young,0,Blonde,0,0,0,1,1,0,0
1,0,1,63,4,8,1,Young,0,Blonde,1,0,0,1,1,0,0
0,0,1,63,2,4,1,Young,0,Blonde,1,1,0,1,1,0,0
0,0,1,63,2,4,1,Young,1,Black,0,0,0,1,1,0,0
0,0,1,63,2,4,1,Young,0,Blonde,0,0,0,1,1,0,0
0,0,1,63,4,8,0,Young,1,Black,0,0,0,1,1,0,0
0,0,1,63,4,8,0,Young,0,Black,0,0,0,1,1,0,0
0,1,1,63,2,4,1,Young,0,Blonde,1,0,0,1,1,0,0
1,1,1,63,7,5,0,Young,0,Black,0,0,0,1,1,0,0
0,1,1,63,7,5,0,Young,0,Black,0,0,0,1,1,0,0
0,1,1,63,1,6,0,Young,0,Blonde,0,0,0,1,1,0,0
0,1,1,63,1,6,0,Young,1,Blonde,0,0,0,1,1,0,0
0,2,1,63,2,4,1,Young,1,Blonde,0,0,0,1,1,0,0
0,2,1,63,2,4,1,Young,0,Blonde,0,0,0,1,1,0,0
0,2,1,63,2,5,1,Young,0,Blonde,0,0,0,1,1,0,0
0,2,1,63,2,4,1,Young,0,Blonde,0,0,0,1,1,0,0
0,2,1,63,4,7,1,Young,0,Blonde,1,0,0,1,1,0,0
1,6,1,61,2,7,1,Young,1,Blonde,0,1,0,1,1,0,0
0,7,1,61,8,6,1,Young,1,Blonde,0,0,0,1,1,0,0
0,7,1,61,8,6,1,Young,1,Blonde,0,0,0,1,1,0,0
0,7,1,61,2,4,1,Young,1,Black,1,0,0,1,1,0,0
1,7,1,61,6,8,1,Young,0,Blonde,0,0,0,1,1,0,0
1,7,1,61,6,4,1,Young,1,Blonde,1,0,0,1,1,0,0
0,7,1,61,2,5,1,Young,0,Blonde,1,0,0,1,1,0,0
0,8,1,64,8,6,1,Young,0,Black,1,0,0,1,1,0,0
0,8,1,64,8,6,1,Young,0,Black,0,0,0,1,1,0,0
0,8,1,64,4,1,1,Young,0,Blonde,0,0,0,1,1,0,0
1,8,1,64,2,4,1,Young,0,Black,0,0,0,1,1,0,0
1,8,1,64,5,1,1,Young,1,Blonde,0,0,0,1,1,0,0
0,8,1,64,1,7,1,Young,0,Blonde,0,0,0,1,1,0,0
0,8,1,64,4,2,1,Young,1,Blonde,0,1,0,1,1,0,0
0,8,1,64,4,1,1,Young,0,Blonde,0,0,0,1,1,0,0
1,8,1,64,8,4,1,Young,1,Blonde,1,0,0,1,1,0,0
0,9,1,68,2,5,1,Young,0,Black,1,0,0,1,1,0,0
0,9,1,68,5,7,1,Young,0,Black,1,0,0,1,1,0,0
0,9,1,68,4,2,0,Middle,1,Black,0,1,0,1,1,0,0
0,9,1,68,4,2,0,Middle,1,Black,0,1,0,1,1,0,0
0,9,1,68,4,1,1,Middle,0,Black,0,0,0,1,1,0,0
1,9,1,68,6,1,1,Young,1,Blonde,0,1,0,1,1,0,0
0,10,1,73,7,1,1,Young,0,Blonde,1,0,0,2,1,0,0
0,10,1,73,4,2,1,Young,1,Black,1,0,0,2,1,0,0
0,10,1,73,2,5,1,Young,0,Black,1,0,0,2,1,0,0
0,10,1,73,4,1,1,Young,1,Black,0,1,0,2,1,0,0
0,10,1,73,5,1,0,Young,1,Black,1,0,0,2,1,0,0
0,10,1,73,5,1,0,Young,1,Black,1,0,0,2,1,0,0
0,10,1,73,5,1,0,Young,1,Black,1,0,0,2,1,0,0
0,11,1,79,5,1,1,Young,1,Black,1,0,0,2,1,0,0
0,11,1,79,6,2,0,Young,0,Blonde,1,0,0,2,1,0,0
0,11,1,79,6,2,0,Young,1,Blonde,0,0,0,2,1,0,0
0,11,1,79,7,8,1,Young,0,Blonde,1,0,0,2,1,0,0
0,11,1,79,4,8,1,Young,0,Black,0,0,0,2,1,0,0
0,11,1,79,7,1,1,Young,0,Blonde,1,0,0,2,1,0,0
0,12,1,84,5,6,0,Young,1,Blonde,1,0,0,2,2,0,0
0,12,1,84,5,6,0,Young,1,Blonde,1,0,0,2,2,0,0
0,12,1,84,1,7,1,Young,1,Blonde,1,0,0,2,2,0,0
1,12,1,84,7,1,1,Young,1,Black,1,1,0,2,2,0,0
0,12,1,84,6,7,0,Young,1,Blonde,0,1,1,2,2,0,0
0,12,1,84,6,7,0,Young,0,Blonde,0,0,1,2,2,0,0
0,0,7,61,1,4,0,Young,1,Black,0,1,0,1,1,0,0
1,0,7,61,1,7,0,Young,0,Black,1,0,0,1,1,0,0
0,0,7,61,2,4,0,Young,0,Blonde,0,0,1,1,1,0,0
0,0,7,61,2,4,0,Young,1,Blonde,0,0,0,1,1,0,0
0,0,7,61,5,8,1,Young,0,Black,0,0,0,1,1,0,1
1,0,7,61,2,1,1,Young,0,Black,0,0,0,1,1,0,1
1,1,7,60,2,7,0,Young,1,Blonde,0,0,0,1,1,0,0
1,1,7,60,1,2,1,Young,0,Blonde,0,0,1,1,1,0,0
0,1,7,60,2,1,1,Young,0,Black,1,0,0,1,1,0,0
1,1,7,60,2,4,1,Young,1,Blonde,0,0,0,1,1,0,0
0,1,7,60,2,4,0,Young,1,Blonde,0,0,0,1,1,0,0
0,2,7,59,2,4,1,Young,0,Black,0,0,0,1,1,0,0
0,2,7,59,4,2,1,Middle,1,Black,1,0,1,1,1,0,0
0,2,7,59,7,2,1,Young,0,Black,1,0,0,1,1,0,0
0,2,7,59,2,4,1,Young,1,Blonde,0,1,0,1,1,0,0
0,2,7,59,2,7,1,Young,1,Blonde,0,0,0,1,1,0,0
1,2,7,59,1,2,0,Young,1,Blonde,0,1,0,1,1,0,0
1,3,7,58,7,2,1,Middle,0,Black,0,0,0,1,1,0,1
0,3,7,58,4,2,1,Middle,0,Black,0,0,1,1,1,0,1
1,3,7,58,2,7,1,Young,0,Blonde,0,0,1,1,1,0,1
1,3,7,58,2,1,1,Young,0,Black,0,0,0,1,1,0,0
0,3,7,58,6,2,0,Young,1,Black,0,0,0,1,1,0,0
1,4,7,57,2,8,1,Young,1,Black,0,0,0,1,1,0,0
0,4,7,57,2,7,1,Young,0,Black,0,0,0,1,1,0,0
1,4,7,57,2,7,1,Young,0,Black,0,0,0,1,1,0,0
1,4,7,57,4,8,1,Middle,0,Black,0,0,1,1,1,0,0
1,4,7,57,7,6,1,Middle,0,Black,0,0,1,1,1,0,1
0,5,7,57,4,2,1,Middle,0,Black,0,1,1,1,1,0,0
0,5,7,57,8,6,1,Middle,0,Black,0,0,1,1,1,0,0
0,9,7,64.5,4,1,1,Old,1,Blonde,0,0,0,1,1,0,0
1,9,7,64.5,8,6,1,Young,1,Blonde,0,0,0,1,1,0,0
1,9,7,64.5,6,8,1,Young,1,Black,1,0,0,1,1,0,0
1,9,7,64.5,7,2,1,Young,0,Black,0,0,1,1,1,0,0
0,9,7,64.5,8,4,1,Young,1,Black,0,0,0,1,1,0,0
0,9,7,64.5,7,5,1,Young,1,Black,1,0,0,1,1,0,0
1,9,7,64.5,4,2,1,Young,0,Hat,0,0,0,1,1,0,0
0,9,7,64.5,2,4,1,Young,1,Black,1,0,0,1,1,0,0
0,9,7,64.5,1,4,1,Young,0,Black,0,0,0,1,1,0,0
1,9,7,64.5,8,4,1,Young,1,Blonde,1,0,0,1,1,0,0
0,10,7,65,6,2,1,Young,1,Blonde,1,0,0,2,1,0,0
1,10,7,65,4,2,0,Young,1,Black,1,0,0,2,1,0,0
0,10,7,65,4,7,1,Young,0,Black,0,0,0,2,1,0,1
0,10,7,65,1,4,0,Young,0,Black,1,1,1,2,1,0,0
0,10,7,65,1,4,0,Young,1,Black,1,1,0,2,1,0,0
1,10,7,65,1,5,1,Young,1,Black,0,0,1,2,1,0,1
0,10,7,65,1,4,1,Young,1,Black,0,1,0,2,1,0,0
1,10,7,65,7,2,1,Young,0,Black,0,0,0,2,1,0,0
1,10,7,65,1,2,1,Young,0,Black,1,1,0,2,1,0,0
